Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddShop,Firefox 62.0,,2018-10-21 22:42:23,2018-10-21 22:43:47,1m - 23.737s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Firefox 62.0,,2018-10-21 22:42:24,2018-10-21 22:43:46,1m - 22.159s,FAILED
openBrowser,Firefox 62.0,,2018-10-21 22:42:24,2018-10-21 22:42:46,21.369s,PASSED
navigateToUrl,Firefox 62.0,,2018-10-21 22:42:46,2018-10-21 22:43:06,20.044s,PASSED
setText,Firefox 62.0,,2018-10-21 22:43:06,2018-10-21 22:43:07,0.912s,PASSED
setText,Firefox 62.0,,2018-10-21 22:43:07,2018-10-21 22:43:07,0.232s,PASSED
click,Firefox 62.0,,2018-10-21 22:43:07,2018-10-21 22:43:08,1.230s,PASSED
click,Firefox 62.0,,2018-10-21 22:43:08,2018-10-21 22:43:14,5.643s,PASSED
click,Firefox 62.0,,2018-10-21 22:43:14,2018-10-21 22:43:15,0.920s,PASSED
setText,Firefox 62.0,,2018-10-21 22:43:15,2018-10-21 22:43:46,31.062s,FAILED
