Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 69.0.3497.100,,2018-10-21 01:58:16,2018-10-21 01:59:56,1m - 40.030s,FAILED
,,,,,,
Test Cases/Login/Login,Chrome 69.0.3497.100,,2018-10-21 01:58:17,2018-10-21 01:58:57,40.067s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:58:17,2018-10-21 01:58:25,8.366s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:58:25,2018-10-21 01:58:41,15.065s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:58:41,2018-10-21 01:58:43,2.494s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:58:43,2018-10-21 01:58:43,0.247s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:58:43,2018-10-21 01:58:44,0.992s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-21 01:58:44,2018-10-21 01:58:53,9.038s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 01:58:53,2018-10-21 01:58:57,3.245s,PASSED
,,,,,,
Test Cases/Login/Login,Chrome 69.0.3497.100,,2018-10-21 01:58:57,2018-10-21 01:59:42,45.250s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:58:57,2018-10-21 01:58:59,2.608s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:58:59,2018-10-21 01:59:06,6.521s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:59:06,2018-10-21 01:59:06,0.264s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-21 01:59:06,2018-10-21 01:59:06,0.225s,PASSED
click,Chrome 69.0.3497.100,,2018-10-21 01:59:06,2018-10-21 01:59:07,0.221s,PASSED
verifyElementVisible,Chrome 69.0.3497.100,,2018-10-21 01:59:07,2018-10-21 01:59:42,35.216s,FAILED
,,,,,,
Test Cases/Login/OpenUrl,Chrome 69.0.3497.100,,2018-10-21 01:59:42,2018-10-21 01:59:56,13.932s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-21 01:59:43,2018-10-21 01:59:47,4.467s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-21 01:59:47,2018-10-21 01:59:55,7.819s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-21 01:59:55,2018-10-21 01:59:55,0.273s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-21 01:59:55,2018-10-21 01:59:56,0.797s,PASSED
