Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_AddProduct,Chrome 69.0.3497.100,,2018-10-22 00:46:48,2018-10-22 00:47:18,29.668s,PASSED
,,,,,,
Test Cases/AddProduct/AddProduct,Chrome 69.0.3497.100,,2018-10-22 00:46:49,2018-10-22 00:47:17,28.077s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:46:49,2018-10-22 00:46:53,3.948s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 00:46:53,2018-10-22 00:47:08,15.253s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:47:08,2018-10-22 00:47:09,0.342s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:47:09,2018-10-22 00:47:09,0.375s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:47:09,2018-10-22 00:47:09,0.167s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:47:09,2018-10-22 00:47:14,5.218s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:47:14,2018-10-22 00:47:15,0.830s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:47:15,2018-10-22 00:47:16,0.260s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:47:16,2018-10-22 00:47:16,0.558s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:47:16,2018-10-22 00:47:16,0.349s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:47:16,2018-10-22 00:47:17,0.167s,PASSED
