Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_AddShop,Chrome 69.0.3497.100,,2018-10-22 00:40:41,2018-10-22 00:41:18,36.830s,FAILED
,,,,,,
Test Cases/AddShop/AddShop,Chrome 69.0.3497.100,,2018-10-22 00:40:42,2018-10-22 00:41:17,35.416s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-22 00:40:42,2018-10-22 00:40:55,12.730s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-22 00:40:55,2018-10-22 00:41:09,13.908s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:41:09,2018-10-22 00:41:10,1.028s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-22 00:41:10,2018-10-22 00:41:10,0.224s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:41:10,2018-10-22 00:41:11,0.169s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:41:11,2018-10-22 00:41:16,5.561s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:41:16,2018-10-22 00:41:16,0.259s,PASSED
click,Chrome 69.0.3497.100,,2018-10-22 00:41:16,2018-10-22 00:41:17,0.731s,FAILED
