Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Login,Firefox 60.0,,2018-10-23 00:36:53,2018-10-23 00:39:49,2m - 55.827s,FAILED
,,,,,,
Test Cases/Login/OpenUrl,Firefox 60.0,,2018-10-23 00:36:55,2018-10-23 00:38:13,1m - 18.766s,PASSED
openBrowser,Firefox 60.0,,2018-10-23 00:36:55,2018-10-23 00:38:01,1m - 5.280s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-23 00:38:01,2018-10-23 00:38:12,11.372s,PASSED
verifyTextPresent,Firefox 60.0,,2018-10-23 00:38:12,2018-10-23 00:38:12,0.459s,PASSED
closeBrowser,Firefox 60.0,,2018-10-23 00:38:12,2018-10-23 00:38:13,0.880s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-10-23 00:38:13,2018-10-23 00:38:52,38.246s,PASSED
openBrowser,Firefox 60.0,,2018-10-23 00:38:14,2018-10-23 00:38:24,9.406s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-23 00:38:24,2018-10-23 00:38:32,7.932s,PASSED
setText,Firefox 60.0,,2018-10-23 00:38:32,2018-10-23 00:38:37,5.432s,PASSED
setText,Firefox 60.0,,2018-10-23 00:38:37,2018-10-23 00:38:38,1.016s,PASSED
click,Firefox 60.0,,2018-10-23 00:38:38,2018-10-23 00:38:40,1.482s,PASSED
verifyElementVisible,Firefox 60.0,,2018-10-23 00:38:40,2018-10-23 00:38:49,9.606s,PASSED
closeBrowser,Firefox 60.0,,2018-10-23 00:38:49,2018-10-23 00:38:52,2.365s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-10-23 00:38:52,2018-10-23 00:39:46,54.338s,FAILED
openBrowser,Firefox 60.0,,2018-10-23 00:38:52,2018-10-23 00:39:07,15.479s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-23 00:39:07,2018-10-23 00:39:13,5.897s,PASSED
setText,Firefox 60.0,,2018-10-23 00:39:13,2018-10-23 00:39:14,0.577s,PASSED
setText,Firefox 60.0,,2018-10-23 00:39:14,2018-10-23 00:39:14,0.217s,PASSED
click,Firefox 60.0,,2018-10-23 00:39:14,2018-10-23 00:39:15,0.746s,PASSED
verifyElementVisible,Firefox 60.0,,2018-10-23 00:39:15,2018-10-23 00:39:46,31.343s,FAILED
